path,kind,filename_score,read_status,fieldnames,row_count,slot_like_fields,pair_like_fields,route_like_fields,candidate_bridge
artifacts/json/g900_six_nine_strong_packet_two_stage_filter_051.v1.json,json,1,json_read,audit_id;audit_pass;boundary;next_ascent_target;pair_exclusion_18_in_scaffold_candidate_count;pair_exclusion_18_in_scaffold_first_30;pair_retention_122_in_scaffold_candidate_count;pair_retention_122_in_scaffold_first_30;prior_049_verdict;prior_050_verdict;raw_surface_count;reading;sample_in_scaffold_count;sample_row_count;scaffold_140_count;scaffold_140_rows_first_30;single_exclusion_18_in_scaffold_candidate_count;single_exclusion_18_in_scaffold_first_30;single_retention_122_in_scaffold_candidate_count;single_retention_122_in_scaffold_first_30;stage_a_exclusion_feature;stage_a_pass;stage_a_rejected_count;stage_a_rejected_rows_first_20;stage_b_candidate_found;stage_b_exclusion_supports_sample;stage_b_retention_supports_sample;stage_status;strong_source_packet_row_count_scalar;theory_claim;verdict;visible_row_count,,,pair_exclusion_18_in_scaffold_candidate_count;pair_exclusion_18_in_scaffold_first_30;pair_retention_122_in_scaffold_candidate_count;pair_retention_122_in_scaffold_first_30,,True
artifacts/json/g900_six_nine_true_source_endpoint_family_anatomy_035.v1.json,json,1,json_read,audit_id;audit_pass;boundary;construction_family_counts;contrast_only_families;contrast_pair_counts;distinct_pair_count;family_status;family_summary;mixed_families;next_ascent_target;pair_counts;prior_034_filter_status;prior_034_verdict;reading;target_only_families;theory_claim;true_source_contrast_row_count;true_source_row_count;true_source_target_row_count;verdict,,,contrast_pair_counts;distinct_pair_count;pair_counts,,True
artifacts/json/g900_slot12_composite_triangle_anatomy_001.v1.json,json,1,json_read,audit_pass;body;boundary;checks;input_paths;root_anatomy_rows;schema;selector_family;status;summary;transition_step_rows;version,,,,transition_step_rows,True
artifacts/json/g900_slot_carrier_census_v0.1.json,json,1,json_read,bad_edge_count;body;body_version;boundary;boundary_edge_count_set;candidate_families;cross_slot_pair_count;cross_slot_pairs;edge_count;internal_edge_count_set;missing_endpoint_edge_count;schema;slot_count;slot_ids;slot_size_counts;slots;status;tuple_edge_count;version;vertex_count,,cross_slot_pair_count;cross_slot_pairs;slot_count;slot_ids;slot_size_counts;slots,cross_slot_pair_count;cross_slot_pairs,,True
artifacts/json/g900_slot_internal_carriers_admission_v0.1.json,json,1,json_read,admitted_rails;admitted_slot_carrier_count;body;body_version;boundary;carrier_set_count;carrier_set_id;messages;per_slot_internal_edge_count;per_slot_vertex_count;schema;source_census;status;total_slot_internal_edges;total_slot_internal_vertices_counted_with_multiplicity;version,,admitted_slot_carrier_count;per_slot_internal_edge_count;per_slot_vertex_count;total_slot_internal_edges;total_slot_internal_vertices_counted_with_multiplicity,,,True
artifacts/json/g900_transport_choice_f0001_root_smoke_slot14_anatomy_046.v1.json,json,1,json_read,answer;artifact_id;boundary;checks;commit;commit_full;counts;failed_checks;git_status_short_before;inputs;interpretation;keeper;missing_inputs;question;recorded_at_utc;root_smoke_path;schema;slot14_anatomy_pass;slot14_surface_profile;status;top_field_tests;verdict;version,,slot14_anatomy_pass;slot14_surface_profile,,,True
artifacts/json/g900_transport_choice_f0001_slot14_boundary14_origin_probe_048.v1.json,json,1,json_read,answer;artifact_id;boundary;checks;commit;commit_full;counts;failed_checks;git_status_short_before;inputs;interpretation;keeper;missing_inputs;origin_probe_pass;question;recorded_at_utc;root_smoke_path;schema;selector_tests;slot14_boundary_split;status;verdict;version,,slot14_boundary_split,,,True
artifacts/json/g900_transport_choice_f0001_slot14_edgehit18_origin_probe_047.v1.json,json,1,json_read,answer;artifact_id;boundary;checks;commit;commit_full;counts;failed_checks;git_status_short_before;inputs;interpretation;keeper;missing_inputs;origin_probe_pass;question;recorded_at_utc;root_smoke_path;schema;selector_tests;slot14_decomposition;status;verdict;version,,slot14_decomposition,,,True
artifacts/json/g900_six_nine_corrected_target_union_compare_059.v1.json,json,4,json_read,audit_id;audit_pass;boundary;candidate_122_count;compare_status;exact_110_single_feature_candidate_count;exact_66_single_feature_candidate_count;exact_match_found;exact_matches_first_20;exact_target_match_count;matched_union_csv_path;nearest_diff_csv_path;nearest_unions_first_20;next_ascent_target;prior_052_verdict;prior_053_verdict;prior_058_verdict;reading;shell_count;target_058_corrected_surplus_count;target_058_count;target_058_promoted_count;target_058_reconstruction;target_058_selected_core_count;theory_claim;union_candidate_count;verdict;visible_row_count,,,,,False
artifacts/csv/g900_six_nine_return_home_receipt_ledger_068_route_holds.v1.csv,csv,3,csv_read,hold;role;status;load_bearing_value,10,,,hold,False
artifacts/json/g900_six_nine_normalized_union_overlap_060.v1.json,json,3,json_read,audit_id;audit_pass;best_normalized_diff_csv_path;boundary;candidate_122_count;comparisons_first_20;exact_normalized_match_count;exact_normalized_matches_first_20;next_ascent_target;normalized_match_found;overlap_status;prior_052_verdict;prior_058_verdict;prior_059_verdict;reading;shell_count;signature_modes;target_058_count;target_058_row_key_count;theory_claim;union_candidate_count;verdict;visible_row_count,,,,,False
artifacts/csv/g900_transport_choice_f0001_slot14_boundary_carrier_choice_probe_049_target_graph.v1.csv,csv,2,csv_read,graph_item;value;interpretation;promotion_status,11,,,,False
artifacts/json/g900_six_nine_address_core_material_target_compare_054.v1.json,json,2,json_read,address_target_match_found;audit_id;audit_pass;boundary;candidate_122_count;next_ascent_target;prior_039_verdict;prior_040_verdict;prior_052_verdict;prior_053_verdict;reading;rowish_arrays_summary_first_40;selector_counts_nearest_298_first_40;selector_feature_set_count_040;selector_target_match_count;selector_target_matches_first_20;selector_visible_298_count;target_298_array_count;target_array_match_count;target_array_matches_first_20;target_available;target_rowish_array_count_039_040;target_status;theory_claim;union_candidate_count_recomputed;verdict;visible_row_count,,,,,False
artifacts/json/g900_six_nine_address_core_material_target_export_055.v1.json,json,2,json_read,address_sample_count;audit_id;audit_pass;boundary;chosen_selector;context_only_sample_count;csv_path;exact_332_shell_candidate_count;export_status;exported_rows_first_30;exported_target_count;next_ascent_target;prior_040_verdict;prior_054_verdict;reading;sample_consistent_selector_hit_count;selector_hits_first_30;shell_local_298_selector_hit_count;theory_claim;verdict;visible_row_count,,,,,False
artifacts/json/g900_six_nine_one_row_correction_probe_058.v1.json,json,2,json_read,audit_id;audit_pass;baseline_count;baseline_reports;boundary;candidate_target_csv_path;candidate_target_rows_first_30;chosen_correction;corrected_surplus_rows_first_30;correction_status;next_ascent_target;one_row_correction_candidate_count;prior_057_verdict;promoted_row_csv_path;reading;shell_count;shell_feature;theory_claim;verdict;visible_row_count,,,,,False
artifacts/json/g900_six_nine_rowlevel_union_candidate_scout_053.v1.json,json,2,json_read,audit_id;audit_pass;boundary;candidate_122_count;exact_110_candidates_first_30;exact_110_single_feature_candidate_count;exact_298_candidates_first_30;exact_298_single_feature_candidate_count;exact_66_candidates_first_30;exact_66_single_feature_candidate_count;next_ascent_target;prior_052_verdict;raw_surface_count;reading;scaffold_count;scan_scope;theory_claim;union_110_122_66_hit_count;union_count_pass;union_equals_target_pass;union_equals_visible_298_target_hit_count;union_hits_first_30;union_status;union_target_hits_first_30;verdict;visible_row_count,,,,,False
artifacts/json/g900_six_nine_target_only_source_family_signature_036.v1.json,json,2,json_read,audit_id;audit_pass;boundary;mixed_families;next_ascent_target;non_endpoint_common_feature_counts;prior_035_family_status;prior_035_verdict;reading;signature_status;strong_signature_found;strongest_target_only_family;target_only_families;target_only_family_count;target_only_family_inspection;theory_claim;verdict,,,,,False
artifacts/csv/g900_slot12_composite_triangle_anatomy_001_roots.v1.csv,csv,1,csv_read,root;root_local;label_at_30;dominant_label;dominant_label_count;distinct_label_count;switch_count;compressed_sequence;has_12_to_6;has_6_to_9;has_9_to_12;has_6_12_to_12;has_core_triangle;transition_positions;direct_6_9_boundary_carrier_exists;flanking_6_12_boundary_carrier_exists;flanking_9_12_boundary_carrier_exists;channels_admitted,60,,,,False
artifacts/csv/g900_slot12_composite_triangle_anatomy_001_transition_steps.v1.csv,csv,1,csv_read,root;root_local;transition;from_limit;to_limit;delta_edge_count;delta_edges;delta_vertex_count;delta_vertices;delta_edge_hits;before_support;after_support;channels_admitted,240,,,,False
artifacts/csv/g900_transport_choice_construction_context_family_census_034_target_family_rows.v1.csv,csv,1,csv_read,stress_id;selector_expression;fields;values;bucket_size;sharpness;stress_blocker;provenance_status;family_key;source_family_key;role_token_count;tuple_token_count;other_token_count;sample_role_tokens;sample_tuple_tokens;sample_source_paths;promoted_to_family_candidate,297,,,,False
artifacts/csv/g900_transport_choice_constructive_provenance_search_033_targets.v1.csv,csv,1,csv_read,stress_id;selector_expression;fields;values;bucket_size;sharpness;stress_blocker;frontier_indices;candidate_indices;common_role_token_count;common_q_edge_token_count;primary_token_count;construction_token_hit_count;selector_token_hit_count;other_token_hit_count;construction_cooccurrence_count;selector_cooccurrence_count;provenance_status;promoted_to_provenance_candidate;sample_tokens;sample_hit_paths,323,,,,False
