path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
artifacts/json/g900_return_cell_transition_length_origin_audit_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_return_cell_transport_checkpoint_009.v1.json,True,True,True,True,True,True
artifacts/json/g900_return_cell_transport_theorem_note_011.v1.json,True,True,True,True,True,True
artifacts/json/g900_root_slot_12_2324_compound_zero_hit_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_root_slot_12_2324_source_provenance_probe_001.v1.json,False,True,False,False,False,False
artifacts/json/g900_root_slot_12_global_scope_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_root_slot_12_zero_hit_fork_anatomy_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_root_smoke_edge_limit_probe_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_root_smoke_signature_census_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_sheets_per_second_quartz_boundary_001.v1.json,False,False,True,True,True,True
artifacts/json/g900_sheets_per_second_ui_note_001.v1.json,False,False,False,False,True,False
artifacts/json/g900_sheets_per_second_ui_note_smoke_003.v1.json,False,False,False,False,True,False
artifacts/json/g900_sheets_per_second_ui_note_tuck_002.v1.json,False,False,False,False,True,False
artifacts/json/g900_six_nine_040_missing_selector_replay_056.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_040_selector_schema_path_replay_057.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_address_core_expansion_count_law_045.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_address_core_material_target_compare_054.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_address_core_material_target_export_055.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_address_core_origin_seed_mismatch_044.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_address_core_origin_surface_043.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_af_return_seam_probe_001.v1.json,False,True,False,False,False,False
artifacts/json/g900_six_nine_answering_outside_fork_audit_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_boundary_orientation_probe_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_broken_ladder_face_source_law_027.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_corrected_target_union_compare_059.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_endpoint_chord_hinge_origin_law_029.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_endpoint_chord_scope_audit_031.v1.json,False,True,False,False,True,True
artifacts/json/g900_six_nine_endpoint_chord_source_provenance_scout_030.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_endpoint_contrast_pair_taxonomy_032.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_expansion_source_field_inventory_046.v1.json,False,True,False,False,False,True
artifacts/json/g900_six_nine_explicit_half_turn_witness_search_001.v1.json,False,True,False,False,False,True
