transport_path,read_status,rowlike_record_count,from_slot_set,to_slot_set,has_from_slot,has_to_slot,has_vertex_fields,has_edge_ids,has_home_candidate,metric_constructible
receipts/g900_transport_deferred_frontier_symmetry_census_019.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_deferred_gate_frontier_full_audit_018b.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_deferred_gate_frontier_worklist_018a.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_family_status_question_012.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_frontier_choice_apparatus_protocol_027.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_frontier_choice_function_search_029.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_frontier_choice_function_stress_test_030.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_frontier_choice_variable_inventory_028.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_pair_selector_admission_hypothesis_audit_022.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_permission_frontier_checkpoint_025.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_permission_frontier_theorem_note_026.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_permission_gate_family_filter_016.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_permission_sharpness_audit_021.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_selector_coupling_law_audit_024.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_transport_successor_rule_family_filter_015.v1.json,json_read,0,,,False,False,False,False,False,False
